Actual,Predicted
417900.0,367673.430886092
588000.0,542897.4067535889
474600.0,532255.0376293336
373800.0,352634.5801524498
241500.0,269799.394497112
392700.0,435034.4964326101
514500.0,476229.7619602724
501900.0,482574.7150533537
432600.0,432607.5898773845
487200.0,402421.4826503459
686700.0,626844.6539448951
436800.0,458032.2273851902
434700.0,408560.46277737163
449400.0,402994.5440809468
476700.0,492623.15470911
445200.0,439228.8495577112
470400.0,451894.237485312
489300.0,444804.4885728165
449400.0,481428.38101874624
489300.0,577836.6029822992
315000.0,411574.82458928064
640500.0,613343.5626297737
304500.0,384279.1669628895
497700.0,496052.78391680226
415800.0,416991.724251415
365400.0,329272.2692238577
478800.0,500417.07982962945
268800.0,259456.22127410443
422100.0,390682.1450638452
663600.0,627781.7441352665
457800.0,405803.01102968527
199500.0,287152.14810344006
474600.0,439029.37423367903
476700.0,418542.84980674053
247800.0,292663.65600553644
506100.0,505627.9118258783
665700.0,607614.7758180639
409500.0,334175.46370895987
732900.0,609043.6105926731
346500.0,545105.3641535307
157500.0,289602.39799120673
380100.0,350259.60500972427
737100.0,620487.7182494123
501900.0,514676.19106142264
567000.0,585296.0345115273
283500.0,301394.0103927227
499800.0,488124.18136651604
632100.0,585151.3423567441
426300.0,456855.12029513135
520800.0,611323.3823459111
338100.0,361130.23547410977
485100.0,451240.97421774117
289800.0,303101.647733351
403200.0,407339.52736403793
504000.0,599297.0816854121
285600.0,264533.5938380849
359100.0,438951.5328538439
283500.0,345022.7316788363
489300.0,481101.20975972083
512400.0,520967.1017150608
585900.0,382414.646256694
596400.0,538125.2721921782
432600.0,449052.10746758693
443100.0,453606.2448440753
434700.0,483200.7463251256
220500.0,278874.88077608496
348600.0,349573.86091175163
432600.0,406642.49904949823
577500.0,362792.18875226355
403200.0,466010.22229772515
518700.0,507828.6099216562
617400.0,572154.1761644015
312900.0,368294.82525078603
483000.0,433422.9779654113
436800.0,391223.1488726613
378000.0,373666.0750871969
432600.0,446404.1190702938
304500.0,291088.9152329811
348600.0,366800.7278911293
480900.0,507303.08743092295
600600.0,578518.1857376692
462000.0,389225.27349266876
514500.0,399657.8567065273
411600.0,441851.6886740995
281400.0,292635.4031537224
291900.0,318158.4208429683
424200.0,365871.0366137464
365400.0,392074.0034801656
